Region/Country/Area,Series,Value
"Total, all countries or areas",Agriculture,25.4
"Total, all countries or areas",Industry,16
"Total, all countries or areas",Services,58.6
Afghanistan,Agriculture,64.8
Afghanistan,Industry,24.8
Afghanistan,Services,10.3
Albania,Agriculture,40
Albania,Industry,16.2
Albania,Services,43.8
Algeria,Agriculture,3.5
Algeria,Industry,23.3
Algeria,Services,73.2
Angola,Agriculture,56
Angola,Industry,1.1
Angola,Services,42.9
Argentina,Agriculture,0
Argentina,Industry,8.6
Argentina,Services,91.3
Armenia,Agriculture,31.9
Armenia,Industry,9.2
Armenia,Services,58.9
Australia,Agriculture,1.6
Australia,Industry,8
Australia,Services,90.4
Austria,Agriculture,3.1
Austria,Industry,11.6
Austria,Services,85.4
Azerbaijan,Agriculture,40.9
Azerbaijan,Industry,6.1
Azerbaijan,Services,52.9
Bahamas,Agriculture,0.3
Bahamas,Industry,2.9
Bahamas,Services,96.8
Bahrain,Agriculture,0
Bahrain,Industry,8.6
Bahrain,Services,91.4
Bangladesh,Agriculture,56.5
Bangladesh,Industry,18.3
Bangladesh,Services,25.2
Barbados,Agriculture,1.5
Barbados,Industry,9
Barbados,Services,89.5
Belarus,Agriculture,7.1
Belarus,Industry,18.5
Belarus,Services,74.3
Belgium,Agriculture,0.6
Belgium,Industry,8.3
Belgium,Services,91.1
Belize,Agriculture,4.6
Belize,Industry,9.3
Belize,Services,86
Benin,Agriculture,29.6
Benin,Industry,16.5
Benin,Services,53.9
Bhutan,Agriculture,62.9
Bhutan,Industry,10.4
Bhutan,Services,26.6
Bolivia (Plurin. State of),Agriculture,30.2
Bolivia (Plurin. State of),Industry,10.1
Bolivia (Plurin. State of),Services,59.7
Bosnia and Herzegovina,Agriculture,15.1
Bosnia and Herzegovina,Industry,17.9
Bosnia and Herzegovina,Services,67
Botswana,Agriculture,16
Botswana,Industry,9.4
Botswana,Services,74.6
Brazil,Agriculture,4
Brazil,Industry,10.3
Brazil,Services,85.7
Brunei Darussalam,Agriculture,0.5
Brunei Darussalam,Industry,8.9
Brunei Darussalam,Services,90.6
Bulgaria,Agriculture,4
Bulgaria,Industry,22.1
Bulgaria,Services,73.9
Burkina Faso,Agriculture,16.6
Burkina Faso,Industry,33.8
Burkina Faso,Services,49.6
Burundi,Agriculture,96
Burundi,Industry,0.4
Burundi,Services,3.7
Cabo Verde,Agriculture,6.1
Cabo Verde,Industry,11
Cabo Verde,Services,82.9
Cambodia,Agriculture,33.2
Cambodia,Industry,27.8
Cambodia,Services,38.9
Cameroon,Agriculture,47.2
Cameroon,Industry,11.3
Cameroon,Services,41.4
Canada,Agriculture,0.9
Canada,Industry,8.3
Canada,Services,90.8
Central African Republic,Agriculture,81
Central African Republic,Industry,2.7
Central African Republic,Services,16.3
Chad,Agriculture,74.5
Chad,Industry,0.6
Chad,Services,25
Channel Islands,Agriculture,2
Channel Islands,Industry,10.2
Channel Islands,Services,87.8
Chile,Agriculture,4.8
Chile,Industry,9.9
Chile,Services,85.3
China,Agriculture,22.1
China,Industry,25.1
China,Services,52.8
"China, Hong Kong SAR",Agriculture,0.1
"China, Hong Kong SAR",Industry,3.9
"China, Hong Kong SAR",Services,96
"China, Macao SAR",Agriculture,0.1
"China, Macao SAR",Industry,2.5
"China, Macao SAR",Services,97.4
Colombia,Agriculture,7.6
Colombia,Industry,14.6
Colombia,Services,77.7
Comoros,Agriculture,55.2
Comoros,Industry,9.7
Comoros,Services,35.1
Congo,Agriculture,33.1
Congo,Industry,21
Congo,Services,45.9
Costa Rica,Agriculture,4.1
Costa Rica,Industry,10.8
Costa Rica,Services,85
Côte d’Ivoire,Agriculture,30.3
Côte d’Ivoire,Industry,10.8
Côte d’Ivoire,Services,59
Croatia,Agriculture,4.5
Croatia,Industry,14.9
Croatia,Services,80.7
Cuba,Agriculture,7.2
Cuba,Industry,10.1
Cuba,Services,82.7
Cyprus,Agriculture,0.9
Cyprus,Industry,6.1
Cyprus,Services,93
Czechia,Agriculture,1.6
Czechia,Industry,23.4
Czechia,Services,74.9
Dem. People's Rep. Korea,Agriculture,59.4
Dem. People's Rep. Korea,Industry,6.8
Dem. People's Rep. Korea,Services,33.8
Dem. Rep. of the Congo,Agriculture,72.2
Dem. Rep. of the Congo,Industry,3.5
Dem. Rep. of the Congo,Services,24.3
Denmark,Agriculture,0.9
Denmark,Industry,8.4
Denmark,Services,90.7
Djibouti,Agriculture,30.2
Djibouti,Industry,7.6
Djibouti,Services,62.2
Dominican Republic,Agriculture,1.3
Dominican Republic,Industry,9.3
Dominican Republic,Services,89.4
