Region/Country/Area,Series,Value
"Total, all countries or areas",Agriculture,26.5
"Total, all countries or areas",Industry,23.1
"Total, all countries or areas",Services,50.4
Afghanistan,Agriculture,42.4
Afghanistan,Industry,18.3
Afghanistan,Services,39.4
Albania,Agriculture,36.1
Albania,Industry,20.2
Albania,Services,43.7
Algeria,Agriculture,9.7
Algeria,Industry,30.7
Algeria,Services,59.6
Angola,Agriculture,50.2
Angola,Industry,8.1
Angola,Services,41.7
Argentina,Agriculture,0.1
Argentina,Industry,21
Argentina,Services,78.9
Armenia,Agriculture,28.9
Armenia,Industry,17.5
Armenia,Services,53.6
Australia,Agriculture,2.5
Australia,Industry,19.8
Australia,Services,77.7
Austria,Agriculture,3.5
Austria,Industry,25
Austria,Services,71.5
Azerbaijan,Agriculture,35.5
Azerbaijan,Industry,15
Azerbaijan,Services,49.5
Bahamas,Agriculture,2.1
Bahamas,Industry,14
Bahamas,Services,83.9
Bahrain,Agriculture,1
Bahrain,Industry,35.1
Bahrain,Services,64
Bangladesh,Agriculture,37.7
Bangladesh,Industry,21.6
Bangladesh,Services,40.6
Barbados,Agriculture,2.6
Barbados,Industry,18.9
Barbados,Services,78.5
Belarus,Agriculture,10.8
Belarus,Industry,30.2
Belarus,Services,59
Belgium,Agriculture,0.9
Belgium,Industry,20.6
Belgium,Services,78.4
Belize,Agriculture,16.6
Belize,Industry,15.7
Belize,Services,67.7
Benin,Agriculture,38
Benin,Industry,19.1
Benin,Services,42.9
Bhutan,Agriculture,54.6
Bhutan,Industry,11.1
Bhutan,Services,34.3
Bolivia (Plurin. State of),Agriculture,30.4
Bolivia (Plurin. State of),Industry,19.4
Bolivia (Plurin. State of),Services,50.3
Bosnia and Herzegovina,Agriculture,15.1
Bosnia and Herzegovina,Industry,32.3
Bosnia and Herzegovina,Services,52.6
Botswana,Agriculture,20.4
Botswana,Industry,18.1
Botswana,Services,61.5
Brazil,Agriculture,9.1
Brazil,Industry,19.6
Brazil,Services,71.3
Brunei Darussalam,Agriculture,1.3
Brunei Darussalam,Industry,15.8
Brunei Darussalam,Services,82.8
Bulgaria,Agriculture,6.3
Bulgaria,Industry,30.1
Bulgaria,Services,63.7
Burkina Faso,Agriculture,24.7
Burkina Faso,Industry,33.9
Burkina Faso,Services,41.4
Burundi,Agriculture,92
Burundi,Industry,1.4
Burundi,Services,6.5
Cabo Verde,Agriculture,11.1
Cabo Verde,Industry,22.1
Cabo Verde,Services,66.8
Cambodia,Agriculture,31.2
Cambodia,Industry,29.6
Cambodia,Services,39.2
Cameroon,Agriculture,42.9
Cameroon,Industry,15.1
Cameroon,Services,42.1
Canada,Agriculture,1.4
Canada,Industry,19.4
Canada,Services,79.2
Central African Republic,Agriculture,77.1
Central African Republic,Industry,5.4
Central African Republic,Services,17.5
Chad,Agriculture,76.3
Chad,Industry,2.1
Chad,Services,21.6
Channel Islands,Agriculture,3.5
Channel Islands,Industry,22.9
Channel Islands,Services,73.6
Chile,Agriculture,8.8
Chile,Industry,22
Chile,Services,69.2
China,Agriculture,24.7
China,Industry,28.2
China,Services,47.1
"China, Hong Kong SAR",Agriculture,0.2
"China, Hong Kong SAR",Industry,11.5
"China, Hong Kong SAR",Services,88.3
"China, Macao SAR",Agriculture,0.4
"China, Macao SAR",Industry,9.5
"China, Macao SAR",Services,90.1
Colombia,Agriculture,16.5
Colombia,Industry,20
Colombia,Services,63.5
Comoros,Agriculture,49.9
Comoros,Industry,13
Comoros,Services,37
Congo,Agriculture,33.8
Congo,Industry,21.7
Congo,Services,44.5
Costa Rica,Agriculture,11.9
Costa Rica,Industry,19.8
Costa Rica,Services,68.3
Côte d’Ivoire,Agriculture,39.3
Côte d’Ivoire,Industry,13.4
Côte d’Ivoire,Services,47.3
Croatia,Agriculture,5.8
Croatia,Industry,27.5
Croatia,Services,66.8
Cuba,Agriculture,17.3
Cuba,Industry,16.8
Cuba,Services,65.9
Cyprus,Agriculture,2
Cyprus,Industry,16.3
Cyprus,Services,81.7
Czechia,Agriculture,2.6
Czechia,Industry,37.1
Czechia,Services,60.2
Dem. People's Rep. Korea,Agriculture,51.1
Dem. People's Rep. Korea,Industry,13.2
Dem. People's Rep. Korea,Services,35.7
Dem. Rep. of the Congo,Agriculture,65.1
Dem. Rep. of the Congo,Industry,9.8
Dem. Rep. of the Congo,Services,25.1
Denmark,Agriculture,2.1
Denmark,Industry,18.3
Denmark,Services,79.6
Djibouti,Agriculture,32.4
Djibouti,Industry,13.3
Djibouti,Services,54.3
Dominican Republic,Agriculture,8.8
Dominican Republic,Industry,19.9
Dominican Republic,Services,71.3
Ecuador,Agriculture,29.4
Ecuador,Industry,18.2
Ecuador,Services,52.5
Egypt,Agriculture,23.3
Egypt,Industry,28.2
Egypt,Services,48.6
El Salvador,Agriculture,16
El Salvador,Industry,22.1
El Salvador,Services,62
Equatorial Guinea,Agriculture,42.5
Equatorial Guinea,Industry,18.5
Equatorial Guinea,Services,38.9
Eritrea,Agriculture,60.8
Eritrea,Industry,8.5
Eritrea,Services,30.7
Estonia,Agriculture,3.1
Estonia,Industry,29.4
Estonia,Services,67.6
Eswatini,Agriculture,12.3
Eswatini,Industry,23.5
Eswatini,Services,64.2
Ethiopia,Agriculture,65.6
Ethiopia,Industry,10.4
Ethiopia,Services,24
Fiji,Agriculture,35.7
Fiji,Industry,13.3
Fiji,Services,51
Finland,Agriculture,3.5
Finland,Industry,22
Finland,Services,74.5
France,Agriculture,2.4
