country,both,female,male
Afghanistan,42.4,64.8,36.4
Albania,36.1,40,33.3
Algeria,9.7,3.5,10.9
Angola,50.2,56,44.2
Argentina,0.1,0,0.1
Armenia,28.9,31.9,26.3
Australia,2.5,1.6,3.3
Austria,3.5,3.1,3.9
Azerbaijan,35.5,40.9,30.4
Bahamas,2.1,0.3,3.7
Bahrain,1,0,1.2
Bangladesh,37.7,56.5,29.7
Barbados,2.6,1.5,3.6
Belarus,10.8,7.1,14.3
Belgium,0.9,0.6,1.2
Belize,16.6,4.6,23.8
Benin,38,29.6,46.1
Bhutan,54.6,62.9,49
Bolivia (Plurin. State of),30.4,30.2,30.5
Bosnia and Herzegovina,15.1,15.1,15.1
Botswana,20.4,16,24.3
Brazil,9.1,4,12.9
Brunei Darussalam,1.3,0.5,2
Bulgaria,6.3,4,8.2
Burkina Faso,24.7,16.6,30.7
Burundi,92,96,87.8
Cabo Verde,11.1,6.1,15.2
Cambodia,31.2,33.2,29.2
Cameroon,42.9,47.2,39
Canada,1.4,0.9,1.9
Central African Republic,77.1,81,73.8
Chad,76.3,74.5,77.8
Channel Islands,3.5,2,4.7
Chile,8.8,4.8,11.7
China,24.7,22.1,26.8
"China, Hong Kong SAR",0.2,0.1,0.2
"China, Macao SAR",0.4,0.1,0.6
Colombia,16.5,7.6,22.7
Comoros,49.9,55.2,46.1
Congo,33.8,33.1,34.4
Costa Rica,11.9,4.1,16.6
Côte d’Ivoire,39.3,30.3,45.7
Croatia,5.8,4.5,6.8
Cuba,17.3,7.2,23.6
Cyprus,2,0.9,2.9
Czechia,2.6,1.6,3.5
Dem. People's Rep. Korea,51.1,59.4,43.6
Dem. Rep. of the Congo,65.1,72.2,58.4
Denmark,2.1,0.9,3.2
Djibouti,32.4,30.2,33.8
Dominican Republic,8.8,1.3,13.7
Ecuador,29.4,26.5,31.4
Egypt,23.3,34.9,20.3
El Salvador,16,3.3,25.3
Equatorial Guinea,42.5,42.6,42.5
Eritrea,60.8,65.4,56.8
Estonia,3.1,1.5,4.5
Eswatini,12.3,10.2,14.1
Ethiopia,65.6,57.4,72.6
Fiji,35.7,33.9,36.6
Finland,3.5,1.9,5
France,2.4,1.3,3.4
French Polynesia,6.8,3.7,9.1
Gabon,32.4,47.3,24
Gambia,26.6,32.1,22.5
Georgia,41.3,43.7,39.3
Germany,1.2,0.8,1.5
Ghana,28.5,21.3,34.7
Greece,11.7,11,12.2
Guam,0.2,0.1,0.3
Guatemala,31.3,9.7,41.8
Guinea,61.3,62.6,59.6
Guinea-Bissau,67.8,70.2,65.6
Guyana,16.8,8.8,21.7
Haiti,28.3,12.7,41.5
Honduras,30.1,9.8,42.4
Hungary,4.6,2.5,6.3
Iceland,3.8,1.3,6.1
India,41.5,53.6,38.5
Indonesia,27.7,25.5,29.2
Iran (Islamic Republic of),17.8,20.5,17.2
Iraq,17.8,17.2,17.9
Ireland,4.5,1.3,7.2
Israel,0.9,0.5,1.3
Italy,3.6,2.2,4.6
Jamaica,15.7,8.4,21.6
Japan,3.4,2.9,3.7
Jordan,3,0.9,3.4
Kazakhstan,15.4,13.9,16.8
Kenya,53.8,59.8,48
Kuwait,2,0,2.6
Kyrgyzstan,20.4,19.3,21
Lao People's Dem. Rep.,61.7,63.5,59.9
Latvia,6.5,3.7,9.3
Lebanon,13.4,14,13.2
Lesotho,8.4,2.9,12.7
Liberia,43,41.1,44.8
Libya,18.8,21.6,17.4
Lithuania,6.6,4.3,9
Luxembourg,1,0.5,1.4
Madagascar,63.8,59.9,67.6
Malawi,43.2,42.7,43.6
Malaysia,10.1,6.1,12.5
Maldives,8.2,1.9,9.8
Mali,62.3,62.4,62.2
Malta,0.9,0.3,1.4
Mauritania,50.6,49.5,51.1
Mauritius,5.9,4.9,6.6
Mexico,12.4,3.4,17.9
Mongolia,26.9,24.1,29.3
Montenegro,7.8,7.1,8.3
Morocco,34.1,53.2,28.2
Mozambique,69.9,79.8,59.3
Myanmar,48.1,42.9,51.7
Namibia,21.8,19.9,23.7
Nepal,64.5,74.4,52.3
Netherlands,2,1.2,2.7
New Caledonia,1.9,0.8,2.7
New Zealand,5.6,3.6,7.3
Nicaragua,30.6,8.2,44.7
Niger,74.8,69.5,78.8
Nigeria,34.7,23.3,43.8
North Macedonia,15.1,14.1,15.7
Norway,2,1,2.9
Oman,4.4,0.3,5
Pakistan,35.9,64,28.7
Panama,13.7,7.8,17.7
Papua New Guinea,57.8,59.8,55.8
Paraguay,19.9,14.4,23.7
Peru,27.2,25.7,28.5
Philippines,22.5,13.2,28.4
Poland,8.9,7.7,9.9
Portugal,5.7,3.7,7.6
Puerto Rico,1,0.3,1.6
Qatar,1.2,0,1.4
Republic of Korea,4.8,4.5,5
Republic of Moldova,35.4,32.1,38.7
Romania,21.3,21.1,21.4
Russian Federation,5.6,3.8,7.3
Rwanda,61.7,70.7,52
Saint Lucia,17,11.2,21.5
Saint Vincent & Grenadines,10.5,4.6,14.8
Samoa,29.9,6.4,41.9
Sao Tome and Principe,18.7,8.5,23.7
Saudi Arabia,2.3,0.3,2.6
Senegal,29.4,24.3,32.9
Serbia,15.1,12.7,16.9
Sierra Leone,54.4,51.3,57.5
Singapore,0.7,0.3,1
Slovakia,2.1,1,3
Slovenia,5.1,4.5,5.6
Solomon Islands,37.1,36.9,37.2
Somalia,83,86.8,81.9
South Africa,5,3.6,6.1
South Sudan,56.1,72.5,40.6
Spain,4,2,5.6
Sri Lanka,23.7,26.5,22.3
State of Palestine,5.9,6.4,5.8
Sudan,39.7,53.5,34.8
Suriname,7.4,4,9.4
Sweden,1.6,0.8,2.3
Switzerland,2.9,2.4,3.3
Syrian Arab Republic,10.5,7.9,10.9
Tajikistan,44.2,59.4,34.9
Thailand,31.2,28.2,33.6
Timor-Leste,43.7,40.3,46.5
Togo,37.2,35,39.3
Tonga,23.7,2.3,37.2
Trinidad and Tobago,2.9,1.3,4.1
Tunisia,12.7,9.2,13.8
Turkey,18,25.3,14.6
Turkmenistan,19.5,18.8,20
Uganda,72.4,76.8,68.3
Ukraine,14.1,11.8,16.2
United Arab Emirates,1.4,0,1.6
United Kingdom,1,0.6,1.4
United Rep. of Tanzania,64.9,66.9,63
United States of America,1.3,0.7,1.8
United States Virgin Islands,3.2,0.8,5.7
Uruguay,7.9,3.5,11.5
Uzbekistan,23.3,23.9,22.9
Vanuatu,55.3,54.2,56.1
Venezuela (Boliv. Rep. of),8.4,1.1,13.1
Viet Nam,36.2,37.5,35
Western Sahara,19.8,46,27.4
Yemen,28.6,53.6,43.7
Zambia,48.5,69.6,62.9
Zimbabwe,66.3,,
