country,agriculture,industry,services
Afghanistan,42.4,18.3,39.4
Albania,36.1,20.2,43.7
Algeria,9.7,30.7,59.6
Angola,50.2,8.1,41.7
Argentina,0.1,21,78.9
Armenia,28.9,17.5,53.6
Australia,2.5,19.8,77.7
Austria,3.5,25,71.5
Azerbaijan,35.5,15,49.5
Bahamas,2.1,14,83.9
Bahrain,1,35.1,64
Bangladesh,37.7,21.6,40.6
Barbados,2.6,18.9,78.5
Belarus,10.8,30.2,59
Belgium,0.9,20.6,78.4
Belize,16.6,15.7,67.7
Benin,38,19.1,42.9
Bhutan,54.6,11.1,34.3
Bolivia,30.4,19.4,50.3
Bosnia and Herzegovina,15.1,32.3,52.6
Botswana,20.4,18.1,61.5
Brazil,9.1,19.6,71.3
Brunei,1.3,15.8,82.8
Bulgaria,6.3,30.1,63.7
Burkina Faso,24.7,33.9,41.4
Burundi,92,1.4,6.5
Cabo Verde,11.1,22.1,66.8
Cambodia,31.2,29.6,39.2
Cameroon,42.9,15.1,42.1
Canada,1.4,19.4,79.2
Central African Republic,77.1,5.4,17.5
Chad,76.3,2.1,21.6
Channel Islands,3.5,22.9,73.6
Chile,8.8,22,69.2
China,24.7,28.2,47.1
Hong Kong ,0.2,11.5,88.3
Macao,0.4,9.5,90.1
Colombia,16.5,20,63.5
Comoros,49.9,13,37
Congo,33.8,21.7,44.5
Costa Rica,11.9,19.8,68.3
Côte d’Ivoire,39.3,13.4,47.3
Croatia,5.8,27.5,66.8
Cuba,17.3,16.8,65.9
Cyprus,2,16.3,81.7
Czechia,2.6,37.1,60.2
North Korea,51.1,13.2,35.7
Congo,65.1,9.8,25.1
Denmark,2.1,18.3,79.6
Djibouti,32.4,13.3,54.3
Dominican Republic,8.8,19.9,71.3
Ecuador,29.4,18.2,52.5
Egypt,23.3,28.2,48.6
El Salvador,16,22.1,62
Equatorial Guinea,42.5,18.5,38.9
Eritrea,60.8,8.5,30.7
Estonia,3.1,29.4,67.6
Eswatini,12.3,23.5,64.2
Ethiopia,65.6,10.4,24
Fiji,35.7,13.3,51
Finland,3.5,22,74.5
France,2.4,19.9,77.7
French Polynesia,6.8,14.6,78.6
Gabon,32.4,10.8,56.9
Gambia,26.6,15.8,57.7
Georgia,41.3,14.2,44.5
Germany,1.2,26.8,72.1
Ghana,28.5,22.2,49.4
Greece,11.7,15.2,73.1
Guam,0.2,14.3,85.5
Guatemala,31.3,18.4,50.3
Guinea,61.3,6.2,32.5
Guinea-Bissau,67.8,7,25.2
Guyana,16.8,22.9,60.3
Haiti,28.3,6.6,65
Honduras,30.1,19.7,50.2
Hungary,4.6,32.8,62.6
Iceland,3.8,16.1,80.1
India,41.5,26.2,32.3
Indonesia,27.7,22.7,49.6
Iran ,17.8,30.3,51.9
Iraq,17.8,22.4,59.9
Ireland,4.5,18.5,77
Israel,0.9,16.8,82.3
Italy,3.6,25.6,70.8
Jamaica,15.7,16.2,68.1
Japan,3.4,24.1,72.6
Jordan,3,24.4,72.6
Kazakhstan,15.4,20.5,64.1
Kenya,53.8,7.4,38.7
Kuwait,2,24.4,73.7
Kyrgyzstan,20.4,24.7,54.9
