country,category,value,gender
"Total, all countries or areas",Agriculture,26.5,both
"Total, all countries or areas",Industry,23.1,both
"Total, all countries or areas",Services,50.4,both
Afghanistan,Agriculture,42.4,both
Afghanistan,Industry,18.3,both
Afghanistan,Services,39.4,both
Albania,Agriculture,36.1,both
Albania,Industry,20.2,both
Albania,Services,43.7,both
Algeria,Agriculture,9.7,both
Algeria,Industry,30.7,both
Algeria,Services,59.6,both
Angola,Agriculture,50.2,both
Angola,Industry,8.1,both
Angola,Services,41.7,both
Argentina,Agriculture,0.1,both
Argentina,Industry,21,both
Argentina,Services,78.9,both
Armenia,Agriculture,28.9,both
Armenia,Industry,17.5,both
Armenia,Services,53.6,both
Australia,Agriculture,2.5,both
Australia,Industry,19.8,both
Australia,Services,77.7,both
Austria,Agriculture,3.5,both
Austria,Industry,25,both
Austria,Services,71.5,both
Azerbaijan,Agriculture,35.5,both
Azerbaijan,Industry,15,both
Azerbaijan,Services,49.5,both
Bahamas,Agriculture,2.1,both
Bahamas,Industry,14,both
Bahamas,Services,83.9,both
Bahrain,Agriculture,1,both
Bahrain,Industry,35.1,both
Bahrain,Services,64,both
Bangladesh,Agriculture,37.7,both
Bangladesh,Industry,21.6,both
Bangladesh,Services,40.6,both
Barbados,Agriculture,2.6,both
Barbados,Industry,18.9,both
Barbados,Services,78.5,both
Belarus,Agriculture,10.8,both
Belarus,Industry,30.2,both
Belarus,Services,59,both
Belgium,Agriculture,0.9,both
Belgium,Industry,20.6,both
Belgium,Services,78.4,both
Belize,Agriculture,16.6,both
Belize,Industry,15.7,both
Belize,Services,67.7,both
Benin,Agriculture,38,both
Benin,Industry,19.1,both
Benin,Services,42.9,both
Bhutan,Agriculture,54.6,both
Bhutan,Industry,11.1,both
Bhutan,Services,34.3,both
Bolivia (Plurin. State of),Agriculture,30.4,both
Bolivia (Plurin. State of),Industry,19.4,both
Bolivia (Plurin. State of),Services,50.3,both
Bosnia and Herzegovina,Agriculture,15.1,both
Bosnia and Herzegovina,Industry,32.3,both
Bosnia and Herzegovina,Services,52.6,both
Botswana,Agriculture,20.4,both
Botswana,Industry,18.1,both
Botswana,Services,61.5,both
Brazil,Agriculture,9.1,both
Brazil,Industry,19.6,both
Brazil,Services,71.3,both
Brunei Darussalam,Agriculture,1.3,both
Brunei Darussalam,Industry,15.8,both
Brunei Darussalam,Services,82.8,both
Bulgaria,Agriculture,6.3,both
Bulgaria,Industry,30.1,both
Bulgaria,Services,63.7,both
Burkina Faso,Agriculture,24.7,both
Burkina Faso,Industry,33.9,both
Burkina Faso,Services,41.4,both
Burundi,Agriculture,92,both
Burundi,Industry,1.4,both
Burundi,Services,6.5,both
Cabo Verde,Agriculture,11.1,both
Cabo Verde,Industry,22.1,both
Cabo Verde,Services,66.8,both
Cambodia,Agriculture,31.2,both
Cambodia,Industry,29.6,both
Cambodia,Services,39.2,both
Cameroon,Agriculture,42.9,both
Cameroon,Industry,15.1,both
Cameroon,Services,42.1,both
Canada,Agriculture,1.4,both
Canada,Industry,19.4,both
Canada,Services,79.2,both
Central African Republic,Agriculture,77.1,both
Central African Republic,Industry,5.4,both
Central African Republic,Services,17.5,both
Chad,Agriculture,76.3,both
Chad,Industry,2.1,both
Chad,Services,21.6,both
Channel Islands,Agriculture,3.5,both
Channel Islands,Industry,22.9,both
Channel Islands,Services,73.6,both
Chile,Agriculture,8.8,both
Chile,Industry,22,both
Chile,Services,69.2,both
China,Agriculture,24.7,both
China,Industry,28.2,both
China,Services,47.1,both
"China, Hong Kong SAR",Agriculture,0.2,both
"China, Hong Kong SAR",Industry,11.5,both
"China, Hong Kong SAR",Services,88.3,both
"China, Macao SAR",Agriculture,0.4,both
"China, Macao SAR",Industry,9.5,both
"China, Macao SAR",Services,90.1,both
Colombia,Agriculture,16.5,both
Colombia,Industry,20,both
Colombia,Services,63.5,both
Comoros,Agriculture,49.9,both
Comoros,Industry,13,both
Comoros,Services,37,both
Congo,Agriculture,33.8,both
Congo,Industry,21.7,both
Congo,Services,44.5,both
Costa Rica,Agriculture,11.9,both
Costa Rica,Industry,19.8,both
Costa Rica,Services,68.3,both
Côte d’Ivoire,Agriculture,39.3,both
Côte d’Ivoire,Industry,13.4,both
Côte d’Ivoire,Services,47.3,both
Croatia,Agriculture,5.8,both
Croatia,Industry,27.5,both
Croatia,Services,66.8,both
Cuba,Agriculture,17.3,both
Cuba,Industry,16.8,both
Cuba,Services,65.9,both
Cyprus,Agriculture,2,both
Cyprus,Industry,16.3,both
Cyprus,Services,81.7,both
Czechia,Agriculture,2.6,both
Czechia,Industry,37.1,both
Czechia,Services,60.2,both
Dem. People's Rep. Korea,Agriculture,51.1,both
Dem. People's Rep. Korea,Industry,13.2,both
Dem. People's Rep. Korea,Services,35.7,both
Dem. Rep. of the Congo,Agriculture,65.1,both
Dem. Rep. of the Congo,Industry,9.8,both
Dem. Rep. of the Congo,Services,25.1,both
Denmark,Agriculture,2.1,both
Denmark,Industry,18.3,both
Denmark,Services,79.6,both
Djibouti,Agriculture,32.4,both
Djibouti,Industry,13.3,both
Djibouti,Services,54.3,both
Dominican Republic,Agriculture,8.8,both
Dominican Republic,Industry,19.9,both
Dominican Republic,Services,71.3,both
Ecuador,Agriculture,29.4,both
Ecuador,Industry,18.2,both
Ecuador,Services,52.5,both
Egypt,Agriculture,23.3,both
Egypt,Industry,28.2,both
Egypt,Services,48.6,both
El Salvador,Agriculture,16,both
El Salvador,Industry,22.1,both
El Salvador,Services,62,both
Equatorial Guinea,Agriculture,42.5,both
Equatorial Guinea,Industry,18.5,both
Equatorial Guinea,Services,38.9,both
Eritrea,Agriculture,60.8,both
Eritrea,Industry,8.5,both
Eritrea,Services,30.7,both
Estonia,Agriculture,3.1,both
Estonia,Industry,29.4,both
Estonia,Services,67.6,both
Eswatini,Agriculture,12.3,both
Eswatini,Industry,23.5,both
Eswatini,Services,64.2,both
Ethiopia,Agriculture,65.6,both
Ethiopia,Industry,10.4,both
Ethiopia,Services,24,both
Fiji,Agriculture,35.7,both
Fiji,Industry,13.3,both
Fiji,Services,51,both
Finland,Agriculture,3.5,both
Finland,Industry,22,both
Finland,Services,74.5,both
France,Agriculture,2.4,both
France,Industry,19.9,both
France,Services,77.7,both
French Polynesia,Agriculture,6.8,both
French Polynesia,Industry,14.6,both
French Polynesia,Services,78.6,both
Gabon,Agriculture,32.4,both
Gabon,Industry,10.8,both
Gabon,Services,56.9,both
Gambia,Agriculture,26.6,both
Gambia,Industry,15.8,both
Gambia,Services,57.7,both
Georgia,Agriculture,41.3,both
Georgia,Industry,14.2,both
Georgia,Services,44.5,both
Germany,Agriculture,1.2,both
Germany,Industry,26.8,both
Germany,Services,72.1,both
Ghana,Agriculture,28.5,both
Ghana,Industry,22.2,both
Ghana,Services,49.4,both
Greece,Agriculture,11.7,both
Greece,Industry,15.2,both
Greece,Services,73.1,both
Guam,Agriculture,0.2,both
Guam,Industry,14.3,both
Guam,Services,85.5,both
Guatemala,Agriculture,31.3,both
Guatemala,Industry,18.4,both
Guatemala,Services,50.3,both
Guinea,Agriculture,61.3,both
Guinea,Industry,6.2,both
Guinea,Services,32.5,both
Guinea-Bissau,Agriculture,67.8,both
Guinea-Bissau,Industry,7,both
Guinea-Bissau,Services,25.2,both
Guyana,Agriculture,16.8,both
Guyana,Industry,22.9,both
Guyana,Services,60.3,both
Haiti,Agriculture,28.3,both
Haiti,Industry,6.6,both
Haiti,Services,65,both
Honduras,Agriculture,30.1,both
Honduras,Industry,19.7,both
Honduras,Services,50.2,both
Hungary,Agriculture,4.6,both
Hungary,Industry,32.8,both
Hungary,Services,62.6,both
Iceland,Agriculture,3.8,both
Iceland,Industry,16.1,both
Iceland,Services,80.1,both
India,Agriculture,41.5,both
India,Industry,26.2,both
India,Services,32.3,both
Indonesia,Agriculture,27.7,both
Indonesia,Industry,22.7,both
Indonesia,Services,49.6,both
Iran (Islamic Republic of),Agriculture,17.8,both
Iran (Islamic Republic of),Industry,30.3,both
Iran (Islamic Republic of),Services,51.9,both
Iraq,Agriculture,17.8,both
Iraq,Industry,22.4,both
Iraq,Services,59.9,both
Ireland,Agriculture,4.5,both
Ireland,Industry,18.5,both
Ireland,Services,77,both
Israel,Agriculture,0.9,both
Israel,Industry,16.8,both
Israel,Services,82.3,both
Italy,Agriculture,3.6,both
Italy,Industry,25.6,both
Italy,Services,70.8,both
Jamaica,Agriculture,15.7,both
Jamaica,Industry,16.2,both
Jamaica,Services,68.1,both
Japan,Agriculture,3.4,both
Japan,Industry,24.1,both
Japan,Services,72.6,both
Jordan,Agriculture,3,both
Jordan,Industry,24.4,both
Jordan,Services,72.6,both
Kazakhstan,Agriculture,15.4,both
Kazakhstan,Industry,20.5,both
Kazakhstan,Services,64.1,both
Kenya,Agriculture,53.8,both
Kenya,Industry,7.4,both
Kenya,Services,38.7,both
Kuwait,Agriculture,2,both
Kuwait,Industry,24.4,both
Kuwait,Services,73.7,both
Kyrgyzstan,Agriculture,20.4,both
Kyrgyzstan,Industry,24.7,both
Kyrgyzstan,Services,54.9,both
Lao People's Dem. Rep.,Agriculture,61.7,both
Lao People's Dem. Rep.,Industry,12.2,both
Lao People's Dem. Rep.,Services,26.2,both
Latvia,Agriculture,6.5,both
Latvia,Industry,23.7,both
Latvia,Services,69.8,both
Lebanon,Agriculture,13.4,both
Lebanon,Industry,22.3,both
Lebanon,Services,64.3,both
Lesotho,Agriculture,8.4,both
Lesotho,Industry,41.9,both
Lesotho,Services,49.6,both
Liberia,Agriculture,43,both
Liberia,Industry,10.1,both
Liberia,Services,46.9,both
Libya,Agriculture,18.8,both
Libya,Industry,21.7,both
Libya,Services,59.5,both
Lithuania,Agriculture,6.6,both
Lithuania,Industry,25.9,both
Lithuania,Services,67.4,both
Luxembourg,Agriculture,1,both
Luxembourg,Industry,11.5,both
Luxembourg,Services,87.5,both
Madagascar,Agriculture,63.8,both
Madagascar,Industry,9.1,both
Madagascar,Services,27.1,both
Malawi,Agriculture,43.2,both
Malawi,Industry,13.8,both
Malawi,Services,43,both
Malaysia,Agriculture,10.1,both
Malaysia,Industry,26.8,both
Malaysia,Services,63.1,both
Maldives,Agriculture,8.2,both
Maldives,Industry,18.3,both
Maldives,Services,73.4,both
Mali,Agriculture,62.3,both
Mali,Industry,7.6,both
Mali,Services,30.2,both
Malta,Agriculture,0.9,both
Malta,Industry,18,both
Malta,Services,81,both
Mauritania,Agriculture,50.6,both
Mauritania,Industry,13.1,both
Mauritania,Services,36.3,both
Mauritius,Agriculture,5.9,both
Mauritius,Industry,25.1,both
Mauritius,Services,69,both
Mexico,Agriculture,12.4,both
Mexico,Industry,26.2,both
Mexico,Services,61.4,both
Mongolia,Agriculture,26.9,both
Mongolia,Industry,19.5,both
Mongolia,Services,53.6,both
Montenegro,Agriculture,7.8,both
Montenegro,Industry,19.2,both
Montenegro,Services,73,both
Morocco,Agriculture,34.1,both
Morocco,Industry,21.8,both
Morocco,Services,44,both
Mozambique,Agriculture,69.9,both
Mozambique,Industry,8.6,both
Mozambique,Services,21.5,both
Myanmar,Agriculture,48.1,both
Myanmar,Industry,16.3,both
Myanmar,Services,35.6,both
Namibia,Agriculture,21.8,both
Namibia,Industry,16.4,both
Namibia,Services,61.8,both
Nepal,Agriculture,64.5,both
Nepal,Industry,15.3,both
Nepal,Services,20.2,both
Netherlands,Agriculture,2,both
Netherlands,Industry,15.8,both
Netherlands,Services,82.2,both
New Caledonia,Agriculture,1.9,both
New Caledonia,Industry,20.7,both
New Caledonia,Services,77.5,both
New Zealand,Agriculture,5.6,both
New Zealand,Industry,19.4,both
New Zealand,Services,75.1,both
Nicaragua,Agriculture,30.6,both
Nicaragua,Industry,15.6,both
Nicaragua,Services,53.8,both
Niger,Agriculture,74.8,both
Niger,Industry,7.2,both
Niger,Services,18,both
Nigeria,Agriculture,34.7,both
Nigeria,Industry,12.2,both
Nigeria,Services,53.1,both
North Macedonia,Agriculture,15.1,both
North Macedonia,Industry,31.4,both
North Macedonia,Services,53.5,both
Norway,Agriculture,2,both
Norway,Industry,19.1,both
Norway,Services,78.9,both
Oman,Agriculture,4.4,both
Oman,Industry,32.8,both
Oman,Services,62.7,both
Pakistan,Agriculture,35.9,both
Pakistan,Industry,25.8,both
Pakistan,Services,38.3,both
Panama,Agriculture,13.7,both
Panama,Industry,18.8,both
Panama,Services,67.5,both
Papua New Guinea,Agriculture,57.8,both
Papua New Guinea,Industry,6.7,both
Papua New Guinea,Services,35.5,both
Paraguay,Agriculture,19.9,both
Paraguay,Industry,17.9,both
Paraguay,Services,62.1,both
Peru,Agriculture,27.2,both
Peru,Industry,15.3,both
Peru,Services,57.5,both
Philippines,Agriculture,22.5,both
Philippines,Industry,19.8,both
Philippines,Services,57.6,both
Poland,Agriculture,8.9,both
Poland,Industry,32,both
Poland,Services,59.1,both
Portugal,Agriculture,5.7,both
Portugal,Industry,24.6,both
Portugal,Services,69.8,both
Puerto Rico,Agriculture,1,both
Puerto Rico,Industry,15.5,both
Puerto Rico,Services,83.5,both
Qatar,Agriculture,1.2,both
Qatar,Industry,54.4,both
Qatar,Services,44.5,both
Republic of Korea,Agriculture,4.8,both
Republic of Korea,Industry,25,both
Republic of Korea,Services,70.2,both
Republic of Moldova,Agriculture,35.4,both
Republic of Moldova,Industry,17.1,both
Republic of Moldova,Services,47.5,both
Romania,Agriculture,21.3,both
Romania,Industry,30.1,both
Romania,Services,48.6,both
Russian Federation,Agriculture,5.6,both
Russian Federation,Industry,26.6,both
Russian Federation,Services,67.8,both
Rwanda,Agriculture,61.7,both
Rwanda,Industry,9.1,both
Rwanda,Services,29.2,both
Saint Lucia,Agriculture,17,both
Saint Lucia,Industry,18.3,both
Saint Lucia,Services,64.7,both
Saint Vincent & Grenadines,Agriculture,10.5,both
Saint Vincent & Grenadines,Industry,19.9,both
Saint Vincent & Grenadines,Services,69.5,both
Samoa,Agriculture,29.9,both
Samoa,Industry,23.3,both
Samoa,Services,46.9,both
Sao Tome and Principe,Agriculture,18.7,both
Sao Tome and Principe,Industry,18.5,both
Sao Tome and Principe,Services,62.9,both
Saudi Arabia,Agriculture,2.3,both
Saudi Arabia,Industry,24.8,both
Saudi Arabia,Services,72.9,both
Senegal,Agriculture,29.4,both
Senegal,Industry,13.6,both
Senegal,Services,56.9,both
Serbia,Agriculture,15.1,both
Serbia,Industry,27.4,both
Serbia,Services,57.6,both
Sierra Leone,Agriculture,54.4,both
Sierra Leone,Industry,6.5,both
Sierra Leone,Services,39.1,both
Singapore,Agriculture,0.7,both
Singapore,Industry,15.2,both
Singapore,Services,84.1,both
Slovakia,Agriculture,2.1,both
Slovakia,Industry,36.1,both
Slovakia,Services,61.8,both
Slovenia,Agriculture,5.1,both
Slovenia,Industry,33.5,both
Slovenia,Services,61.5,both
Solomon Islands,Agriculture,37.1,both
Solomon Islands,Industry,9.6,both
Solomon Islands,Services,53.4,both
Somalia,Agriculture,83,both
Somalia,Industry,3.5,both
Somalia,Services,13.4,both
South Africa,Agriculture,5,both
South Africa,Industry,22.7,both
South Africa,Services,72.3,both
South Sudan,Agriculture,56.1,both
South Sudan,Industry,14.1,both
South Sudan,Services,29.7,both
Spain,Agriculture,4,both
Spain,Industry,20.2,both
Spain,Services,75.8,both
Sri Lanka,Agriculture,23.7,both
Sri Lanka,Industry,30.4,both
Sri Lanka,Services,45.9,both
State of Palestine,Agriculture,5.9,both
State of Palestine,Industry,31.7,both
State of Palestine,Services,62.4,both
Sudan,Agriculture,39.7,both
Sudan,Industry,15.9,both
Sudan,Services,44.4,both
Suriname,Agriculture,7.4,both
Suriname,Industry,23.5,both
Suriname,Services,69.1,both
Sweden,Agriculture,1.6,both
Sweden,Industry,17.7,both
Sweden,Services,80.7,both
Switzerland,Agriculture,2.9,both
Switzerland,Industry,20,both
Switzerland,Services,77.2,both
Syrian Arab Republic,Agriculture,10.5,both
Syrian Arab Republic,Industry,26.5,both
Syrian Arab Republic,Services,63,both
Tajikistan,Agriculture,44.2,both
Tajikistan,Industry,16,both
Tajikistan,Services,39.9,both
Thailand,Agriculture,31.2,both
Thailand,Industry,22.5,both
Thailand,Services,46.3,both
Timor-Leste,Agriculture,43.7,both
Timor-Leste,Industry,9.8,both
Timor-Leste,Services,46.4,both
Togo,Agriculture,37.2,both
Togo,Industry,12.9,both
Togo,Services,49.9,both
Tonga,Agriculture,23.7,both
Tonga,Industry,29.2,both
Tonga,Services,47.1,both
Trinidad and Tobago,Agriculture,2.9,both
Trinidad and Tobago,Industry,26.6,both
Trinidad and Tobago,Services,70.5,both
Tunisia,Agriculture,12.7,both
Tunisia,Industry,32.5,both
Tunisia,Services,54.8,both
Turkey,Agriculture,18,both
Turkey,Industry,26.1,both
Turkey,Services,55.9,both
Turkmenistan,Agriculture,19.5,both
Turkmenistan,Industry,42.6,both
Turkmenistan,Services,37.9,both
Uganda,Agriculture,72.4,both
Uganda,Industry,6.6,both
Uganda,Services,20.9,both
Ukraine,Agriculture,14.1,both
Ukraine,Industry,24.8,both
Ukraine,Services,61.1,both
United Arab Emirates,Agriculture,1.4,both
United Arab Emirates,Industry,34.2,both
United Arab Emirates,Services,64.4,both
United Kingdom,Agriculture,1,both
United Kingdom,Industry,17.7,both
United Kingdom,Services,81.3,both
United Rep. of Tanzania,Agriculture,64.9,both
United Rep. of Tanzania,Industry,6.8,both
United Rep. of Tanzania,Services,28.3,both
United States of America,Agriculture,1.3,both
United States of America,Industry,19.7,both
United States of America,Services,79,both
United States Virgin Islands,Agriculture,3.2,both
United States Virgin Islands,Industry,19.6,both
United States Virgin Islands,Services,77.2,both
Uruguay,Agriculture,7.9,both
Uruguay,Industry,18.7,both
Uruguay,Services,73.4,both
Uzbekistan,Agriculture,23.3,both
Uzbekistan,Industry,29.9,both
Uzbekistan,Services,46.8,both
Vanuatu,Agriculture,55.3,both
Vanuatu,Industry,6.3,both
Vanuatu,Services,38.4,both
Venezuela (Boliv. Rep. of),Agriculture,8.4,both
Venezuela (Boliv. Rep. of),Industry,16.1,both
Venezuela (Boliv. Rep. of),Services,75.5,both
Viet Nam,Agriculture,36.2,both
Viet Nam,Industry,28.4,both
Viet Nam,Services,35.4,both
Yemen,Agriculture,28.6,both
Yemen,Industry,10,both
Yemen,Services,61.4,both
Zambia,Agriculture,48.5,both
Zambia,Industry,10.8,both
