country,both,female,male
Afghanistan,39.4,10.3,47.1
Albania,43.7,43.8,43.6
Algeria,59.6,73.2,57.1
Angola,41.7,42.9,40.6
Argentina,78.9,91.3,69.7
Armenia,53.6,58.9,49.1
Australia,77.7,90.4,66.7
Austria,71.5,85.4,59.4
Azerbaijan,49.5,52.9,46.3
Bahamas,83.9,96.8,72.4
Bahrain,64,91.4,57.4
Bangladesh,40.6,25.2,47.2
Barbados,78.5,89.5,67.9
Belarus,59,74.3,43.9
Belgium,78.4,91.1,67.4
Belize,67.7,86,56.6
Benin,42.9,53.9,32.3
Bhutan,34.3,26.6,39.5
Bolivia (Plurin. State of),50.3,59.7,42.9
Bosnia and Herzegovina,52.6,67,43.9
Botswana,61.5,74.6,50
Brazil,71.3,85.7,60.7
Brunei Darussalam,82.8,90.6,77.1
Bulgaria,63.7,73.9,54.8
Burkina Faso,41.4,49.6,35.2
Burundi,6.5,3.7,9.7
Cabo Verde,66.8,82.9,53.8
Cambodia,39.2,38.9,39.5
Cameroon,42.1,41.4,42.6
Canada,79.2,90.8,68.7
Central African Republic,17.5,16.3,18.5
Chad,21.6,25,18.8
Channel Islands,73.6,87.8,62.3
Chile,69.2,85.3,57.5
China,47.1,52.8,42.6
"China, Hong Kong SAR",88.3,96,80.7
"China, Macao SAR",90.1,97.4,83.3
Colombia,63.5,77.7,53.4
Comoros,37,35.1,38.4
Congo,44.5,45.9,43.1
Costa Rica,68.3,85,58.2
Côte d’Ivoire,47.3,59,38.9
Croatia,66.8,80.7,55
Cuba,65.9,82.7,55.4
Cyprus,81.7,93,72.3
Czechia,60.2,74.9,48.4
Dem. People's Rep. Korea,35.7,33.8,37.3
Dem. Rep. of the Congo,25.1,24.3,25.9
Denmark,79.6,90.7,69.7
Djibouti,54.3,62.2,49.2
Dominican Republic,71.3,89.4,59.5
Ecuador,52.5,62.9,45.4
Egypt,48.6,58,46.1
El Salvador,62,79.5,49
Equatorial Guinea,38.9,47.2,34.2
Eritrea,30.7,30,31.3
Estonia,67.6,81.7,54.5
Eswatini,64.2,67.6,61.2
Ethiopia,24,32.7,16.5
Fiji,51,57.7,47.7
Finland,74.5,89.4,60.6
France,77.7,89.3,66.9
French Polynesia,78.6,91.4,69
Gabon,56.9,49.9,60.8
Gambia,57.7,63.9,53.1
Georgia,44.5,50.5,39.4
Germany,72.1,85.7,60.2
Ghana,49.4,54.7,44.7
Greece,73.1,81.4,67.3
Guam,85.5,96.5,78
Guatemala,50.3,73.8,38.9
Guinea,32.5,35.3,29.2
Guinea-Bissau,25.2,25.6,24.8
Guyana,60.3,83.2,46.4
Haiti,65,85.5,47.8
Honduras,50.2,72.8,36.6
Hungary,62.6,77.5,50.2
Iceland,80.1,91.9,69.5
India,32.3,28.5,33.3
Indonesia,49.6,57.4,44.6
Iran (Islamic Republic of),51.9,55.2,51.1
Iraq,59.9,72.1,58.4
Ireland,77,90.5,65.5
Israel,82.3,91.9,73.6
Italy,70.8,85.1,60.4
Jamaica,68.1,85.6,53.9
Japan,72.6,83.3,64.1
Jordan,72.6,86.2,69.9
Kazakhstan,64.1,74.9,54.2
Kenya,38.7,38.1,39.3
Kuwait,73.7,96.7,66.5
Kyrgyzstan,54.9,66,48.1
Lao People's Dem. Rep.,26.2,27.5,24.9
Latvia,69.8,83.5,55.9
Lebanon,64.3,72,61.9
Lesotho,49.6,66.4,36.9
Liberia,46.9,54,40.3
Libya,59.5,67.1,56.1
Lithuania,67.4,79.4,55.4
Luxembourg,87.5,95.5,80.7
Madagascar,27.1,31.5,23
Malawi,43,47.1,39.2
Malaysia,63.1,74.9,55.8
Maldives,73.4,77.3,72.5
Mali,30.2,32.4,28.4
Malta,81,91.2,74
Mauritania,36.3,40.4,34.4
Mauritius,69,79.7,62.4
Mexico,61.4,79,50.8
Mongolia,53.6,64,44.8
Montenegro,73,85.1,63.6
Morocco,44,34.3,47.1
Mozambique,21.5,17.2,26.1
Myanmar,35.6,41.9,31.3
Namibia,61.8,72.2,51.7
Nepal,20.2,17.3,23.7
Netherlands,82.2,92.7,73.2
New Caledonia,77.5,92.4,65.3
New Zealand,75.1,87.5,63.9
Nicaragua,53.8,80.1,37.2
Niger,18,19.6,16.8
Nigeria,53.1,63.9,44.4
North Macedonia,53.5,59.4,49.6
Norway,78.9,92.3,67
Oman,62.7,95.5,58.5
Pakistan,38.3,18.6,43.3
Panama,67.5,82.5,57.5
Papua New Guinea,35.5,37.5,33.7
Paraguay,62.1,77.9,51.5
Peru,57.5,65.9,50.5
Philippines,57.6,77,45.4
Poland,59.1,75.1,46.2
Portugal,69.8,81.4,58.7
Puerto Rico,83.5,91.8,76.9
Qatar,44.5,93.6,36.6
Republic of Korea,70.2,82.3,61.4
Republic of Moldova,47.5,56.1,38.9
Romania,48.6,57.5,41.8
Russian Federation,67.8,80.8,55.5
Rwanda,29.2,26.4,32.3
Saint Lucia,64.7,81.7,51.4
Saint Vincent & Grenadines,69.5,88.7,55.7
Samoa,46.9,60.3,40
Sao Tome and Principe,62.9,88.2,50.5
Saudi Arabia,72.9,97.6,69.2
Senegal,56.9,70.3,48.1
Serbia,57.6,68.3,49.2
Sierra Leone,39.1,47.3,30.8
Singapore,84.1,89.3,80.4
Slovakia,61.8,78.9,47.8
Slovenia,61.5,75.3,49.6
Solomon Islands,53.4,58.9,48.2
Somalia,13.4,11.6,14
South Africa,72.3,85.1,62.2
South Sudan,29.7,19.5,39.4
Spain,75.8,89.1,65
Sri Lanka,45.9,45,46.3
State of Palestine,62.4,84,58.2
Sudan,44.4,42.2,45.2
Suriname,69.1,88.9,57.7
Sweden,80.7,92.3,69.9
Switzerland,77.2,88.1,67.6
Syrian Arab Republic,63,84.4,59.4
Tajikistan,39.9,33.2,43.9
Thailand,46.3,52.2,41.4
Timor-Leste,46.4,51.9,42
Togo,49.9,51.9,48
Tonga,47.1,46.4,47.5
Trinidad and Tobago,70.5,86.3,58.7
Tunisia,54.8,58.1,53.7
Turkey,55.9,59.2,54.4
Turkmenistan,37.9,43,34.3
Uganda,20.9,20,21.8
Ukraine,61.1,74.5,49
United Arab Emirates,64.4,94.6,58.2
United Kingdom,81.3,92.2,71.7
United Rep. of Tanzania,28.3,30,26.8
United States of America,79,90.7,69
United States Virgin Islands,77.2,91.7,61.9
Uruguay,73.4,88.3,61.4
Uzbekistan,46.8,58.7,38.5
Vanuatu,38.4,43.5,34.6
Venezuela (Boliv. Rep. of),75.5,91.2,65.4
Viet Nam,35.4,38.8,32.3
Western Sahara,61.4,43.2,62.7
Yemen,40.7,41.9,39.6
Zambia,27.2,28.5,25.8
Zimbabwe,66.3,,
